Date and Time	Input Voltage(V)	Output Voltage(V)	Input Frequency(Hz)	Output Frequency(Hz)	Load Capacity(%)	Internal Temperature(℃)	Backup Time(Min)	Battery Voltage(V)	Battery Capacity(%)
﻿2021-02-13 18:00:05.607	99.3	100.2	49.9	49.9	16	35.4	108	53.8	100
﻿2021-02-13 18:00:11.602	99.5	100.3	49.9	49.9	15	35.4	106	53.9	100
﻿2021-02-13 18:00:16.608	99.5	100.3	49.9	49.9	15	35.4	106	53.9	100
﻿2021-02-13 18:00:21.616	99.5	100.3	49.9	49.9	15	35.4	106	53.9	100
﻿2021-02-13 18:00:26.626	99.3	100.3	49.9	49.9	15	35.4	106	53.9	100
﻿2021-02-13 18:00:31.633	99.3	100.3	49.9	49.9	15	35.4	109	53.9	100
﻿2021-02-13 18:00:36.640	99.3	100.3	49.9	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:00:41.646	99.3	100.3	49.9	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:00:46.655	99.3	100.4	50.0	50.0	15	35.4	106	53.9	100
﻿2021-02-13 18:00:51.661	99.3	100.4	50.0	50.0	15	35.4	106	53.9	100
﻿2021-02-13 18:00:57.654	99.4	100.2	50.0	50.0	15	35.4	106	53.9	100
﻿2021-02-13 18:01:02.660	99.4	100.2	50.0	50.0	15	35.4	106	53.9	100
﻿2021-02-13 18:01:08.653	99.4	100.3	50.0	50.0	15	35.4	109	53.9	100
﻿2021-02-13 18:01:13.662	99.4	100.3	50.0	50.0	15	35.4	109	53.9	100
﻿2021-02-13 18:01:18.671	99.3	100.3	50.0	50.0	15	35.7	106	53.8	100
﻿2021-02-13 18:01:23.679	99.3	100.3	50.0	49.9	15	35.7	106	53.8	100
﻿2021-02-13 18:01:28.687	99.3	100.3	50.0	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:01:33.692	99.3	100.2	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:01:39.683	99.3	100.2	49.9	49.9	15	35.4	106	53.8	100
﻿2021-02-13 18:01:44.691	99.2	100.1	49.9	49.9	15	35.4	106	53.9	100
﻿2021-02-13 18:01:49.698	99.2	100.1	49.9	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:01:54.704	99.2	100.1	49.9	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:02:00.697	99.2	100.1	49.9	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:02:05.707	99.1	100.0	49.9	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:02:11.699	99.1	100.0	49.9	49.9	15	35.4	108	53.9	100
﻿2021-02-13 18:02:16.706	99.1	100.0	49.9	49.9	15	35.7	108	53.9	100
﻿2021-02-13 18:02:21.710	99.1	100.0	49.9	49.9	15	35.7	108	53.9	100
﻿2021-02-13 18:02:26.717	99.1	100.0	49.9	49.9	15	35.7	109	53.9	100
﻿2021-02-13 18:02:31.722	99.0	100.0	49.9	49.9	15	35.4	109	53.9	100
﻿2021-02-13 18:02:36.729	99.0	100.0	49.9	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:02:41.736	99.1	99.9	49.9	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:02:46.742	99.1	99.9	49.9	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:02:51.750	99.1	100.1	50.0	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:02:57.743	99.1	100.1	50.0	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:03:02.751	94.4	95.9	49.9	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:03:08.743	94.4	95.9	49.9	49.9	15	35.4	108	53.9	100
﻿2021-02-13 18:03:13.750	94.2	95.4	49.9	49.9	15	35.4	108	53.8	100
﻿2021-02-13 18:03:18.757	94.2	95.4	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:03:23.765	94.1	95.2	49.9	49.9	16	35.4	110	53.8	100
﻿2021-02-13 18:03:28.773	94.1	95.2	49.9	49.9	16	35.4	109	53.8	100
﻿2021-02-13 18:03:33.779	94.1	95.0	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:03:38.788	94.1	95.0	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:03:43.797	94.1	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:03:48.805	94.1	94.9	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:03:53.809	94.1	94.9	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:03:58.816	94.0	94.9	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:04:04.808	94.0	94.9	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:04:09.816	93.8	94.7	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:04:15.810	93.8	94.7	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:04:20.816	94.1	94.9	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:04:26.812	94.1	94.9	49.9	49.9	15	35.4	106	53.8	100
﻿2021-02-13 18:04:32.805	94.0	94.7	49.9	49.9	15	35.4	106	53.8	100
﻿2021-02-13 18:04:37.813	94.0	94.7	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:04:43.806	94.1	94.8	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:04:48.814	94.1	94.8	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:04:54.809	94.2	94.9	49.9	49.9	15	35.4	105	53.8	100
﻿2021-02-13 18:04:59.814	94.2	94.9	49.9	49.9	15	35.4	105	53.8	100
﻿2021-02-13 18:05:05.806	94.2	94.9	49.9	49.9	15	35.4	109	53.8	100
